Issue,customfield_10731,customfield_10120,customfield_10121,customfield_10630,customfield_10122,customfield_10830,customfield_10123,customfield_10100,customfield_10126
IMPORT-501,1127793796629,mpv,MPV,MPV03,35753,MPV_batch1,MPVSP_MPV_00072,00072,2
IMPORT-500,1127793796626,mpv,MPV,MPV03,35750,,MPVSP_MPV_00069,00069,1
IMPORT-499,1127793796625,mpv,MPV,MPV03,35749,,MPVSP_MPV_00068,00068,1
IMPORT-498,1127793796623,mpv,MPV,MPV03,35747,,MPVSP_MPV_00066,00066,1
IMPORT-497,1127793796622,mpv,MPV,MPV03,35746,,MPVSP_MPV_00065,00065,1
IMPORT-496,1127793796620,mpv,MPV,MPV03,35744,,MPVSP_MPV_00063,00063,1
IMPORT-495,1127793796619,mpv,MPV,MPV03,35743,,MPVSP_MPV_00062,00062,1
IMPORT-494,1127793796618,mpv,MPV,MPV03,35742,,MPVSP_MPV_00061,00061,1
IMPORT-493,1127793796616,mpv,MPV,MPV03,35740,,MPVSP_MPV_00059,00059,1
IMPORT-492,1127793796614,mpv,MPV,MPV03,35738,,MPVSP_MPV_00057,00057,1
IMPORT-491,1127793796613,mpv,MPV,MPV03,35737,MPV_batch2,MPVSP_MPV_00056,00056,1
IMPORT-490,1127793796612,mpv,MPV,MPV03,35736,,MPVSP_MPV_00055,00055,1
IMPORT-489,1127793796611,mpv,MPV,MPV03,35735,,MPVSP_MPV_00054,00054,1
IMPORT-488,1127793796610,mpv,MPV,MPV03,35734,,MPVSP_MPV_00053,00053,1
IMPORT-487,1127793796609,mpv,MPV,MPV03,35733,,MPVSP_MPV_00052,00052,1
IMPORT-486,1127793796608,mpv,MPV,MPV03,35732,,MPVSP_MPV_00051,00051,1
IMPORT-485,1127793796607,mpv,MPV,MPV03,35731,MPV_batch2,MPVSP_MPV_00050,00050,2
IMPORT-484,1127793796606,mpv,MPV,MPV03,35730,MPV_batch2,MPVSP_MPV_00049,00049,2
IMPORT-483,1127793796604,mpv,MPV,MPV03,35728,MPV_batch1,MPVSP_MPV_00047,00047,2
IMPORT-482,1127793796602,mpv,MPV,MPV03,35726,MPV_batch2,MPVSP_MPV_00045,00045,1
IMPORT-481,1127793796601,mpv,MPV,MPV03,35725,MPV_batch1,MPVSP_MPV_00044,00044,2
IMPORT-480,1127793796600,mpv,MPV,MPV03,35724,MPV_batch1,MPVSP_MPV_00043,00043,2
IMPORT-479,1127793796599,mpv,MPV,MPV03,35723,MPV_batch1,MPVSP_MPV_00042,00042,2
IMPORT-478,1127793796598,mpv,MPV,MPV03,35722,MPV_batch1,MPVSP_MPV_00041,00041,2
IMPORT-477,1127793796597,mpv,MPV,MPV03,35721,MPV_batch2,MPVSP_MPV_00040,00040,2
